sources,seed,MAE,max_error,spearman,seconds
16,4,0.004148381589149158,0.02901304260151859,0.6757790933870378,0.009682212000370782
16,5,0.0042244042572658035,0.02574469857457746,0.7256833290689524,0.009380232000694377
16,6,0.004311670369160387,0.044649653187897584,0.7112727651521726,0.00944102900029975
16,7,0.004132684576234996,0.0340416988849879,0.6694213441205574,0.009596044999852893
16,8,0.004103375798008164,0.03537887719949982,0.6965544959785096,0.009639926000090782
16,9,0.004320320569835708,0.04003597404410438,0.698640339798124,0.009430534000784974
16,10,0.00450675788566671,0.03398710874044279,0.750349561266177,0.009469734999584034
16,11,0.004221470287568972,0.03751442062847844,0.7723988263685131,0.009443140999792377
16,12,0.004368514381987028,0.04384803752675994,0.6714684003777133,0.009437347000130103
16,13,0.0043765971862910055,0.048377444941774886,0.6426905351575669,0.009699973999886424
16,14,0.004267890918988105,0.01987465058903056,0.6562310109550512,0.009741296999891347
32,0,0.0028260368466613813,0.016091444062026793,0.8001102449695305,0.01897318000010273
32,1,0.002849184697471391,0.029445212955869503,0.8369042865327521,0.018682142000216118
32,2,0.0026384514494968963,0.011743794024123691,0.7988428618552404,0.018543588999818894
32,3,0.0029290787088546394,0.01670432282989202,0.7951671893538245,0.018647576999683224
32,4,0.0030581549021578697,0.01712036114642144,0.776163648674456,0.01858230800007732
32,5,0.002969187173734115,0.02176536331222265,0.8230516154794352,0.0188668159998997
32,6,0.003110545881525378,0.02337498359743447,0.7996631885970241,0.018853571999898122
32,7,0.0030364826234811184,0.01808348910351217,0.7539818399624991,0.019059975999880407
32,8,0.003015964142957274,0.021249825829332474,0.7843782010104341,0.018799596999997448
32,9,0.002891776061629017,0.023918539020236163,0.7998993038073576,0.018842867999410373
32,10,0.0030877737814801,0.019694203858627385,0.798868035903401,0.019357731000127387
32,11,0.0028153037890004794,0.015978237103109853,0.8139811455059982,0.01907693199973437
32,12,0.003230616120419577,0.023152946214547235,0.7856125974409276,0.020200068000121973
32,13,0.0028814383918051123,0.020537850409284464,0.7862245872324172,0.018744746999800554
32,14,0.0027812414302355853,0.014147906779916272,0.7900197920102778,0.01864180399934412
64,0,0.0017345031047870676,0.007179809875008858,0.9022283372975222,0.037183376999564643
64,1,0.0017371256614687237,0.010891543140500375,0.9181956283963261,0.03720215600060328
64,2,0.0016407550091885944,0.00756973149106807,0.9012691192555425,0.037418328000057954
64,3,0.001824340861343312,0.008756815592896748,0.9003854233580443,0.037230971999633766
64,4,0.0019011989095263373,0.009774324865013562,0.8842939981596901,0.037124010999832535
64,5,0.001732293515247006,0.010783464187361511,0.9173900588551883,0.038142750999213604
64,6,0.00215841608792937,0.008885430216311527,0.872179204500078,0.03710677199978818
64,7,0.0019288009377826907,0.010866100398995507,0.8760785777530857,0.03787885899964749
64,8,0.001980843872943286,0.009809152622291907,0.8773285994548514,0.03714378599943302
64,9,0.0018845952593672874,0.014567572588902095,0.8941761141686486,0.037341702999583504
64,10,0.0018695885618888492,0.009149550853302114,0.9029540443410475,0.03749267500006681
64,11,0.001979333264270038,0.010111255015033578,0.9007673744335837,0.03877263100002892
64,12,0.001998651920213029,0.008450202179770152,0.8924087223736521,0.03719093000017892
64,13,0.0017671599031989678,0.011331208270786989,0.9092814111356099,0.03744914900016738
64,14,0.0018561446637079468,0.00784404591443991,0.8756497508637301,0.03733405799994216
128,0,0.0010391512439464731,0.005285879005284953,0.9629906769214742,0.07474608900065505
128,1,0.0010590014733260252,0.0056031952146621995,0.9605696279449294,0.07523442299952876
128,2,0.0010222499851674145,0.005483331264089088,0.9619489921700028,0.07472911100012425
128,3,0.0011761972860348093,0.006330881248191266,0.9567726870258163,0.07518576700022095
128,4,0.001017266893921787,0.00562495771306358,0.9648848070278996,0.07527478900010465
128,5,0.0011407583686835383,0.006589410934836219,0.9639967707772703,0.0746637180000107
128,6,0.0011081317250715662,0.006480051690017323,0.9598890605739682,0.07451748399944336
128,7,0.0011484508073509102,0.004959262839000325,0.9569992534592614,0.07425267199960217
128,8,0.0010328894539160627,0.005001563761480017,0.9633674195732562,0.07500421999975515
128,9,0.001222344624147944,0.005959561109317894,0.9525911908192849,0.07448182000007364
128,10,0.0010202296780023035,0.005565541501290648,0.9647858469765098,0.0746487470005377
128,11,0.0011779268923630723,0.0069334842768960965,0.9588386951162343,0.0749847619999855
128,12,0.0010584377784440156,0.004930768451218209,0.9606764006319551,0.07544431099995563
128,13,0.0010764083383297614,0.006229665813872229,0.961470685254952,0.07472839099955308
128,14,0.0010986310302673742,0.0042367763405297375,0.95905137241966,0.07558482900003582
240,0,0.0,0.0,0.9999999999999998,0.13982152599965048
240,1,0.0,0.0,0.9999999999999998,0.14373181300015858
240,2,0.0,0.0,0.9999999999999998,0.1395053430005646
240,3,0.0,0.0,0.9999999999999998,0.1400784899997234
240,4,0.0,0.0,0.9999999999999998,0.14156228399951942
240,5,0.0,0.0,0.9999999999999998,0.13991924499987363
240,6,0.0,0.0,0.9999999999999998,0.14044765200014808
240,7,0.0,0.0,0.9999999999999998,0.14191978899998503
240,8,0.0,0.0,0.9999999999999998,0.14173154799937038
240,9,0.0,0.0,0.9999999999999998,0.13916433000031248
240,10,0.0,0.0,0.9999999999999998,0.14026879900029599
240,11,0.0,0.0,0.9999999999999998,0.13959402599994064
240,12,0.0,0.0,0.9999999999999998,0.14026749999993626
240,13,0.0,0.0,0.9999999999999998,0.14030455800002528
240,14,0.0,0.0,0.9999999999999998,0.14062679399921763
