swaps_per_edge,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.1,2,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.2919550264550264,0.19444444444444445,0.2857142857142857,0.39285714285714285,0.2893652102225886,819,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.6468086805555556,0.14333333333333334,0.15888888888888886,-0.022908590151023218,0.008226737435670518,0.018619974933827
0.1,3,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.2861878306878307,0.19444444444444445,0.2857142857142857,0.3611111111111111,0.28371216582263575,803,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.6368517361111111,0.12333333333333334,0.157948717948718,-0.014264292206084835,0.00817675562823837,0.01755959906875481
0.1,4,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.2719497354497354,0.17857142857142858,0.26666666666666666,0.35714285714285715,0.2699328700977506,764,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.6331142361111111,0.1,0.09897435897435902,-0.02723073912349232,0.008221425240219637,0.01992244686456195
0.1,5,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.29567989417989415,0.21428571428571427,0.2857142857142857,0.35813492063492064,0.2911317865975739,824,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.6409729166666667,0.11333333333333333,0.1361111111111113,-0.014264292206085062,0.00822039658280356,0.018863351551897174
0.1,6,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.2790978835978836,0.19444444444444445,0.2583333333333333,0.3611111111111111,0.2755859144977035,780,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.6282774305555555,0.10333333333333333,0.15589743589743588,-0.007060710585303066,0.008104924745983339,0.018162955691654003
0.1,7,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.28382275132275137,0.19444444444444445,0.2857142857142857,0.35714285714285715,0.28265221999764456,800,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.6415795138888889,0.09666666666666666,0.08102564102564114,-0.020027157502710606,0.008101729959078575,0.01695932060119102
0.1,8,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.27714550264550264,0.1875,0.27222222222222225,0.35714285714285715,0.2738193381227182,775,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,14,0.6335253472222222,0.12333333333333334,0.1557142857142857,-0.005619994261146929,0.008121228881320984,0.018793549553309124
0.1,9,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.2807751322751323,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.27876575197267695,789,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.6313993055555556,0.11333333333333333,0.16666666666666674,0.00014287103547862872,0.008043562492145502,0.018573207516260008
0.5,0,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.041611111111111106,0.0,0.03571428571428571,0.06666666666666667,0.041337887174655516,117,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,10,0.3624954861111111,0.18666666666666668,0.2526666666666666,0.03472006281523124,0.006725243514555912,0.014092997464856117
0.5,1,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.037994708994709,0.0,0.03571428571428571,0.05555555555555555,0.03780473442468496,107,1,1.0,0.0,0,0.0,0.0,6.0,5.99,12,0.35263541666666665,0.12,0.18000000000000016,-0.012823575881928524,0.0067240169111230826,0.014703371258562924
