dataset,resolution,seed,communities,Q_at_gamma,Q_at_one
Southern women,0.5,3,2,0.5712346925893196,0.31100871102133576
Southern women,0.5,4,2,0.5688360055548541,0.306211336952405
Southern women,0.75,0,2,0.44517737659386447,0.32016159575811143
Southern women,0.75,1,2,0.44517737659386447,0.32016159575811143
Southern women,0.75,2,2,0.4443409922989522,0.3153010983461685
Southern women,0.75,3,2,0.44112170180532767,0.31100871102133576
Southern women,0.75,4,2,0.43379939401590717,0.3087362706728949
Southern women,1.0,0,4,0.33486933467996466,0.33486933467996466
Southern women,1.0,1,3,0.3360055548541851,0.3360055548541851
Southern women,1.0,2,3,0.3360055548541851,0.3360055548541851
Southern women,1.0,3,3,0.3360055548541851,0.3360055548541851
Southern women,1.0,4,3,0.3252745865421033,0.3252745865421033
Southern women,1.25,0,5,0.23830640070698145,0.298510289104911
Southern women,1.25,1,5,0.2558546900643858,0.31479611160207044
Southern women,1.25,2,5,0.23830640070698145,0.298510289104911
Southern women,1.25,3,4,0.2134989269031688,0.27641711905062494
Southern women,1.25,4,6,0.2300530236081303,0.28291882338088625
Southern women,1.5,0,6,0.18447796995328875,0.29901527584900894
Southern women,1.5,1,6,0.18447796995328875,0.29901527584900894
Southern women,1.5,2,5,0.17785001893700292,0.29459664183815176
Southern women,1.5,3,6,0.17639818204772126,0.28613811387451077
Southern women,1.5,4,7,0.17712410049236207,0.2678954677439717
Southern women,2.0,0,9,0.09556874132054034,0.2163236965029668
Southern women,2.0,1,9,0.09973488195934857,0.21840676682237092
Southern women,2.0,2,9,0.09556874132054033,0.2219416740310567
Southern women,2.0,3,9,0.09809367504103017,0.22320414089130158
Southern women,2.0,4,9,0.09973488195934857,0.21840676682237092
Florentine families,0.5,0,3,0.5706249999999999,0.39125
Florentine families,0.5,1,3,0.5706249999999999,0.39125
Florentine families,0.5,2,3,0.5706249999999999,0.39125
Florentine families,0.5,3,3,0.5706249999999999,0.39125
Florentine families,0.5,4,3,0.5706249999999999,0.39125
Florentine families,0.75,0,3,0.48093749999999996,0.39125
Florentine families,0.75,1,3,0.48093749999999996,0.39125
Florentine families,0.75,2,3,0.48093749999999996,0.39125
Florentine families,0.75,3,3,0.48093749999999996,0.39125
Florentine families,0.75,4,3,0.48093749999999996,0.39125
Florentine families,1.0,0,4,0.3975,0.3975
Florentine families,1.0,1,4,0.3975,0.3975
Florentine families,1.0,2,4,0.3975,0.3975
Florentine families,1.0,3,4,0.3975,0.3975
Florentine families,1.0,4,4,0.3975,0.3975
Florentine families,1.25,0,4,0.321875,0.3975
Florentine families,1.25,1,4,0.321875,0.3975
Florentine families,1.25,2,4,0.321875,0.3975
Florentine families,1.25,3,4,0.321875,0.3975
Florentine families,1.25,4,4,0.321875,0.3975
Florentine families,1.5,0,5,0.2475,0.365
Florentine families,1.5,1,5,0.2475,0.365
Florentine families,1.5,2,5,0.2475,0.365
Florentine families,1.5,3,5,0.2475,0.365
Florentine families,1.5,4,5,0.2475,0.365
Florentine families,2.0,0,7,0.12500000000000003,0.28750000000000003
Florentine families,2.0,1,7,0.12500000000000003,0.28750000000000003
Florentine families,2.0,2,7,0.12500000000000003,0.28750000000000003
Florentine families,2.0,3,7,0.12500000000000003,0.28750000000000003
Florentine families,2.0,4,7,0.12500000000000003,0.28750000000000003
C. elegans,0.5,0,2,0.5707335371520518,0.3048748955331537
C. elegans,0.5,1,2,0.5818506410189722,0.32664355391876376
C. elegans,0.5,2,2,0.5647433821770024,0.2891701907972077
C. elegans,0.5,3,2,0.582191079398271,0.3277899800255922
C. elegans,0.5,4,2,0.5569782119437249,0.23406815573102516
C. elegans,0.75,0,4,0.45978207934105264,0.3869409723305903
C. elegans,0.75,1,3,0.4605255115841162,0.35348156355225424
C. elegans,0.75,2,4,0.4626173138842941,0.381720664322448
C. elegans,0.75,3,4,0.4684079090072095,0.3852515136855903
C. elegans,0.75,4,3,0.44293387443691934,0.3564071770890768
C. elegans,1.0,0,6,0.3922626045101935,0.3922626045101935
C. elegans,1.0,1,6,0.3891390024586554,0.3891390024586554
C. elegans,1.0,2,5,0.39472104317731793,0.39472104317731793
C. elegans,1.0,3,6,0.3875377554452802,0.3875377554452802
C. elegans,1.0,4,5,0.3875799106353318,0.3875799106353318
C. elegans,1.25,0,8,0.34299440343795623,0.3841720590632141
C. elegans,1.25,1,7,0.3475016764544733,0.3892676353907667
C. elegans,1.25,2,7,0.33823704394369714,0.3780384247266523
C. elegans,1.25,3,7,0.35033455399158714,0.3910683880722269
C. elegans,1.25,4,7,0.3463337934642767,0.3862849118663934
C. elegans,1.5,0,10,0.3113909067028703,0.3765883512097348
C. elegans,1.5,1,10,0.3176267321556755,0.3822973993390413
C. elegans,1.5,2,11,0.304238449694662,0.3696474829125183
C. elegans,1.5,3,10,0.3063721091726226,0.3740184017699545
C. elegans,1.5,4,10,0.3083069673751339,0.37003208129167836
C. elegans,2.0,0,15,0.2556169352461603,0.3289257860588343
C. elegans,2.0,1,16,0.2575003727862565,0.33359189961472974
C. elegans,2.0,2,18,0.2517525288779307,0.31582039851717764
C. elegans,2.0,3,13,0.25559222731985753,0.3431126872167258
C. elegans,2.0,4,15,0.2585877382797735,0.33599777975441186
