beta,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.01,3,300,1200,0.026755852842809364,8.0,0.02886751345948129,0.006488888888888766,8.0,8.0,8.0,8.0,0.6311772486772488,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6301141769743102,1766,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8090760416666667,0.11666666666666667,0.13555555555555565,-0.06338615512927355,0.02630655400783366,0.07247106811800152
0.01,4,300,1200,0.026755852842809364,8.0,0.038188130791298666,0.010397222222222169,8.0,8.0,8.0,8.0,0.6221931216931218,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6203945804611362,1740,1,1.0,0.0,0,0.0,0.0,7.0,7.0,10,0.8034805555555555,0.12,0.10266666666666668,-0.010130330033961433,0.020082568870717514,0.08059899771080672
0.01,5,300,1200,0.026755852842809364,8.0,0.035355339059327376,0.00885833333333319,8.0,8.0,8.0,8.0,0.625383597883598,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6237517831669044,1749,1,1.0,0.0,0,0.0,0.0,7.0,6.996666666666667,10,0.8101256944444445,0.12333333333333334,0.08533333333333326,-0.055124892334194035,0.020605039833944433,0.09513170148762949
0.01,6,300,1200,0.026755852842809364,8.0,0.04330127018922193,0.013408333333333244,8.0,8.0,8.0,9.0,0.6143095238095239,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6122594440484675,1718,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8019100694444444,0.12333333333333334,0.1444444444444446,-0.01547059224425745,0.019170284608264546,0.08513154972995099
0.01,7,300,1200,0.026755852842809364,8.0,0.033850160019316504,0.008830555555555453,8.0,8.0,8.0,8.0,0.6285317460317462,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6270360242539531,1758,1,1.0,0.0,0,0.0,0.0,7.0,7.0,11,0.8083319444444445,0.12666666666666668,0.1393939393939394,-0.0011471477734907364,0.024928100731586612,0.07055060454495059
0.01,8,300,1200,0.026755852842809364,8.0,0.030618621784789725,0.00727499999999992,8.0,8.0,8.0,8.0,0.6286243386243388,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6275419193721014,1759,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8092552083333333,0.11666666666666667,0.10944444444444446,-0.028742223612413995,0.024436993889256124,0.10775333321463354
0.01,9,300,1200,0.026755852842809364,8.0,0.040824829046386304,0.01262222222222209,8.0,8.0,8.0,9.0,0.6189285714285715,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6166825095057035,1730,1,1.0,0.0,0,0.0,0.0,7.0,7.0,11,0.8057993055555556,0.13333333333333333,0.14969696969696988,-0.01732053422370585,0.0208373057254312,0.09452426126804808
0.05,0,300,1200,0.026755852842809364,8.0,0.08354140689901425,0.0397694444444443,8.0,8.0,8.0,9.0,0.542572631072631,0.4722222222222222,0.5714285714285714,0.6428571428571429,0.5346639896067084,1509,1,1.0,0.0,0,0.0,0.0,7.0,6.993333333333333,12,0.7780864583333333,0.11,0.1033333333333335,-0.0085689196292878,0.011908469720681193,0.03737242104628082
0.05,1,300,1200,0.026755852842809364,8.0,0.07569125885243728,0.03387499999999988,8.0,8.0,8.0,9.0,0.5501387686387688,0.4722222222222222,0.5714285714285714,0.6190476190476191,0.5439384979302188,1533,1,1.0,0.0,0,0.0,0.0,6.0,6.0,11,0.7821746527777778,0.11666666666666667,0.11212121212121229,0.012109213131359445,0.01235088718767028,0.04226273372744286
0.05,2,300,1200,0.026755852842809364,8.0,0.08291561975888499,0.04041944444444434,8.0,8.0,8.0,9.0,0.540952861952862,0.4722222222222222,0.5714285714285714,0.6071428571428571,0.533309709425939,1505,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7763736111111111,0.11,0.0838888888888889,0.00805723030403592,0.011892614242589108,0.038331067946978735
0.05,3,300,1200,0.026755852842809364,8.0,0.07430231041719587,0.033280555555555535,8.0,8.0,8.0,9.0,0.5478862433862434,0.4722222222222222,0.5714285714285714,0.6190476190476191,0.5433573879096179,1531,1,1.0,0.0,0,0.0,0.0,6.0,6.0,14,0.7785798611111111,0.1,0.09000000000000008,-0.0055912625823318,0.01244444851526678,0.03702701560335894
0.05,4,300,1200,0.026755852842809364,8.0,0.07071067811865475,0.03175555555555554,8.0,8.0,8.0,9.0,0.5617698412698413,0.5,0.6071428571428571,0.6428571428571429,0.5561079545454546,1566,1,1.0,0.0,0,0.0,0.0,6.0,6.0,11,0.7874170138888889,0.12333333333333334,0.13515151515151524,0.034233668341708295,0.012730992111129602,0.04402697966964575
0.05,5,300,1200,0.026755852842809364,8.0,0.08100925873009825,0.03667500000000001,8.0,8.0,8.0,9.0,0.5565514670514671,0.5,0.6071428571428571,0.6190476190476191,0.5480326125487416,1546,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7838913194444445,0.11666666666666667,0.13277777777777788,-0.040317257056636156,0.011957808213001906,0.04236965822057545
