n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95,family,size,seed,generation_seed,analysis_seed
120,464,0.06498599439775911,7.733333333333333,0.7429689253387551,0.3358297413793103,4.0,6.0,9.0,19.099999999999994,0.13631018535067546,0.06278280542986425,0.11607142857142858,0.17023809523809524,0.11047992164544564,188,1,1.0,0.0,0,0.0,0.0,4.0,3.9833333333333334,6,0.3070470422116528,0.21666666666666667,0.1416666666666666,-0.15739089796704375,0.012962975173287176,0.05809604243580163,Preferential,120,5,2097845682,996817203
120,464,0.06498599439775911,7.733333333333333,0.7622244926332633,0.3340158045977011,4.0,5.0,9.0,22.049999999999997,0.16217520053202678,0.04027777777777778,0.12916055718475072,0.22619047619047616,0.12900748704165868,224,1,1.0,0.0,0,0.0,0.0,4.0,3.9833333333333334,8,0.2980245801129608,0.20833333333333334,0.21666666666666656,-0.09434019482465673,0.012318199510658205,0.06421094661366654,Preferential,120,6,3920559007,2359008064
120,464,0.06498599439775911,7.733333333333333,0.8286182501721951,0.32693965517241375,4.0,6.0,8.0,16.299999999999983,0.16363613271763297,0.07220496894409938,0.1547008547008547,0.23968253968253966,0.11542591267000715,215,1,1.0,0.0,0,0.0,0.0,4.0,4.0,8,0.28945033813912013,0.175,0.12291666666666656,-0.14691122973968718,0.01199194773060977,0.04665612780272578,Preferential,120,7,794770715,551655815
120,464,0.06498599439775911,7.733333333333333,0.7911097505002098,0.3393498563218391,4.0,5.5,8.0,19.19999999999999,0.1617475383343749,0.06190476190476191,0.12796384901648059,0.20357142857142857,0.11731843575418995,210,1,1.0,0.0,0,0.0,0.0,4.0,4.0,8,0.29806638302615934,0.175,0.1166666666666667,-0.14508814838991832,0.011707311641872125,0.0626880740157354,Preferential,120,8,2197879220,3247398610
120,464,0.06498599439775911,7.733333333333333,0.7696832509400511,0.32474856321839085,4.0,6.0,8.0,18.049999999999997,0.1458108043934633,0.047619047619047616,0.12104562104562105,0.2,0.11714285714285715,205,1,1.0,0.0,0,0.0,0.0,4.0,4.0,7,0.27730194708680145,0.18333333333333332,0.10952380952380958,-0.11052798844764286,0.011667927868250827,0.04999141070163401,Preferential,120,9,4085412147,3312290770
120,464,0.06498599439775911,7.733333333333333,0.807496829472172,0.3372844827586208,4.0,5.0,8.0,21.049999999999997,0.14526835411741967,0.05281385281385281,0.11467236467236466,0.2,0.10486822840409957,191,1,1.0,0.0,0,0.0,0.0,4.0,4.0,8,0.2834934230083234,0.175,0.16874999999999996,-0.12614476219738224,0.012255779690823428,0.06976780676732197,Preferential,120,10,949468294,2295746518
120,464,0.06498599439775911,7.733333333333333,0.809737024441569,0.3441091954022988,4.0,5.0,9.0,20.14999999999999,0.17823862347209068,0.0724025974025974,0.16575091575091574,0.2,0.11612196457914917,212,1,1.0,0.0,0,0.0,0.0,4.0,4.0,7,0.29283405172413796,0.21666666666666667,0.18095238095238098,-0.17595085574209443,0.012029402593600518,0.0539672691477838,Preferential,120,11,3391387583,4242856380
240,944,0.03291492329149233,7.866666666666666,0.8605868570811824,0.3432070974576271,4.0,5.0,8.0,22.0,0.08463706322133846,0.0,0.06666666666666667,0.13333333333333333,0.06259389083625438,250,1,1.0,0.0,0,0.0,0.0,4.0,4.0,9,0.31251178271330077,0.15833333333333333,0.1342592592592593,-0.10852904157389667,0.006976059445897417,0.03454162844499734,Preferential,240,0,2869038413,1614127923
240,944,0.03291492329149233,7.866666666666666,0.8983300684085734,0.3507503531073446,4.0,6.0,8.0,21.049999999999983,0.10597485202910573,0.0,0.07194616977225674,0.16666666666666666,0.07551102204408817,314,1,1.0,0.0,0,0.0,0.0,4.0,4.0,8,0.3197115816216604,0.17083333333333334,0.16770833333333335,-0.1036013026086102,0.006996096958728452,0.027878383334721955,Preferential,240,1,1847138842,3286984846
240,944,0.03291492329149233,7.866666666666666,0.9146704431294457,0.3563824152542372,4.0,5.0,8.0,21.0,0.11422519501051591,0.0,0.0898989898989899,0.16666666666666666,0.07656557699881843,324,1,1.0,0.0,0,0.0,0.0,4.0,4.0,9,0.3212147191898879,0.2,0.20277777777777772,-0.11104018150326711,0.007106919001379306,0.026847159976887473,Preferential,240,2,375912958,636206088
240,944,0.03291492329149233,7.866666666666666,0.8898204196361079,0.35199064265536717,4.0,5.0,8.0,21.099999999999966,0.1125447797725459,0.027777777777777776,0.09307359307359307,0.16666666666666666,0.07231839508170199,298,1,1.0,0.0,0,0.0,0.0,4.0,4.0,9,0.3188901581801207,0.2,0.2231481481481481,-0.133157819245445,0.006923268648741159,0.031075525186533462,Preferential,240,3,3189574065,1947048935
240,944,0.03291492329149233,7.866666666666666,0.8952518466907287,0.34964247881355925,4.0,5.0,8.0,22.0,0.09188732980576729,0.0,0.06666666666666667,0.1488095238095238,0.06466141225671546,268,1,1.0,0.0,0,0.0,0.0,4.0,4.0,10,0.3136042085607584,0.17916666666666667,0.2274999999999998,-0.12345639423368786,0.007405754807168125,0.03218923423538886,Preferential,240,4,401553772,136775787
240,944,0.03291492329149233,7.866666666666666,0.880311269738632,0.3450035310734463,4.0,5.0,9.0,21.049999999999983,0.09653028536694354,0.0,0.06666666666666667,0.16666666666666666,0.06692816866879137,273,1,1.0,0.0,0,0.0,0.0,4.0,4.0,11,0.305616651106004,0.15416666666666667,0.26363636363636367,-0.10756720995131334,0.007037660596527352,0.034054115475003865,Preferential,240,5,484268506,1476261905
240,944,0.03291492329149233,7.866666666666666,0.9114258049830954,0.35702242231638426,4.0,5.0,8.0,22.14999999999995,0.10296798179565929,0.0,0.06666666666666667,0.16666666666666666,0.0678207256343372,286,1,1.0,0.0,0,0.0,0.0,4.0,4.0,11,0.30934167175380634,0.17083333333333334,0.22196969696969715,-0.15570248484007482,0.007261489992560092,0.03683604084568865,Preferential,240,6,2080524343,2109503728
240,944,0.03291492329149233,7.866666666666666,0.8305679241953046,0.3382812500000001,4.0,6.0,8.0,19.049999999999983,0.10041315477802287,0.0,0.06873496873496873,0.14285714285714285,0.07367514002585093,285,1,1.0,0.0,0,0.0,0.0,4.0,3.9916666666666667,9,0.3173494281456478,0.19166666666666668,0.23425925925925917,-0.0676388818356096,0.007081643693282873,0.027408971500719557,Preferential,240,7,3894383522,3008577749
240,944,0.03291492329149233,7.866666666666666,0.9006505197938549,0.34739583333333335,4.0,5.0,8.0,22.0,0.11274912017602959,0.0,0.09090909090909091,0.16666666666666666,0.08036142651527267,335,1,1.0,0.0,0,0.0,0.0,4.0,3.9916666666666667,10,0.314238791834243,0.14166666666666666,0.1858333333333333,-0.07970563488655397,0.00716682939170159,0.027418924631310668,Preferential,240,8,3807146909,2127873028
240,944,0.03291492329149233,7.866666666666666,0.9259371441647547,0.35477577683615813,4.0,5.0,8.0,21.0,0.11489027675833126,0.0,0.09523809523809523,0.16666666666666666,0.0733130982955872,314,1,1.0,0.0,0,0.0,0.0,4.0,4.0,10,0.3138746498850905,0.16666666666666666,0.2091666666666665,-0.12369429519296406,0.006660696501380781,0.02911750399244687,Preferential,240,9,945100164,75900664
240,944,0.03291492329149233,7.866666666666666,0.9656602098604794,0.3597810734463276,4.0,5.0,8.0,21.099999999999966,0.1218583999363854,0.03373015873015873,0.1,0.16666666666666666,0.07831729693443723,350,1,1.0,0.0,0,0.0,0.0,4.0,4.0,9,0.304335701845734,0.15833333333333333,0.13148148148148153,-0.11877960191782742,0.006980423539044868,0.02962183198084356,Preferential,240,10,4108874552,596459884
240,944,0.03291492329149233,7.866666666666666,0.8895177012735934,0.3505693855932204,4.0,5.0,8.0,20.049999999999983,0.09686325555316504,0.0,0.06666666666666667,0.16666666666666666,0.06530182877488266,269,1,1.0,0.0,0,0.0,0.0,4.0,4.0,9,0.30145454790290144,0.14166666666666666,0.11296296296296293,-0.13631059191706923,0.00677228412622433,0.0329889046704603,Preferential,240,11,4057505301,1772349653
480,1904,0.016562282533054976,7.933333333333334,1.0291952267538789,0.35204722514005593,4.0,6.0,8.0,18.049999999999955,0.06423929672548488,0.0,0.029256146903205726,0.09523809523809523,0.043560152049587346,424,1,1.0,0.0,0,0.0,0.0,4.0,4.0,12,0.3135850387949297,0.1375,0.23472222222222228,-0.087899082353384,0.003982128222492053,0.013948564535957593,Preferential,480,0,602820454,3137614237
480,1904,0.016562282533054976,7.933333333333334,1.003630159787134,0.36632856267506986,4.0,5.0,8.0,23.049999999999955,0.06069177290143194,0.0,0.027777777777777776,0.1,0.040223817567567564,381,1,1.0,0.0,0,0.0,0.0,4.0,4.0,11,0.3134022910634842,0.14791666666666667,0.19431818181818183,-0.10112778525695774,0.004038043567402779,0.019850366743275272,Preferential,480,1,387042941,2839011152
480,1904,0.016562282533054976,7.933333333333334,1.0780177186957112,0.3600216649159662,4.0,5.0,8.0,19.0,0.07389830724625963,0.0,0.03571428571428571,0.10151515151515152,0.04487075272313445,460,1,1.0,0.0,0,0.0,0.0,4.0,3.995833333333333,11,0.3151685306475532,0.17708333333333334,0.2261363636363638,-0.087241121948422,0.003798256764928519,0.012696133025628555,Preferential,480,2,1830194848,1449529833
