family,size,seed,PC1,PC2
Geometric,240,2,5.917155532160347,-3.0654742887022874
Geometric,240,3,3.8458782677688723,-1.3079051451883177
Geometric,240,4,4.701187591549837,-2.549602371287191
Geometric,240,5,4.252587150751131,-2.3075713698455345
Geometric,240,6,4.982718510596173,-3.048953524554247
Geometric,240,7,5.094955275921766,-2.462853980130499
Geometric,240,8,4.7095649668612545,-1.9439539598680007
Geometric,240,9,4.373365923318062,-1.4940537371730427
Geometric,240,10,4.446936016286067,-1.537361313304538
Geometric,240,11,4.343185241733418,-2.2614675917608937
Geometric,480,0,4.244962383487286,-1.839740316483771
Geometric,480,1,4.30773145813508,-1.7757426587314684
Geometric,480,2,5.000483535047746,-1.536879344445646
Geometric,480,3,4.297184721709968,-0.7084003019127609
Geometric,480,4,4.4015038056674,-1.0614742333238252
Geometric,480,5,3.9481593490015165,-1.0384530109478907
Geometric,480,6,5.14395203717072,-1.6579989425800312
Geometric,480,7,4.7375159996753,-1.305544761099801
Geometric,480,8,4.30159610058386,-2.1498124029584167
Geometric,480,9,4.316051172679134,-1.8493690746005287
Geometric,480,10,4.7375832834357565,-1.4678639650281355
Geometric,480,11,4.952883279285097,-2.3389099679096153
