mechanism,fraction,seed,signature_distance,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
Uniform,0.05,8,2.16714340950263,300,1187,0.026465997770345598,7.913333333333333,0.3347980915245024,0.18797809604043803,6.0,8.0,9.0,13.0,0.043524679024679026,0.0,0.03571428571428571,0.06666666666666667,0.043417215682039094,134,1,1.0,0.0,2,0.0016849199663016006,0.006666666666666667,5.0,4.796666666666667,4,0.49519329381980726,0.25333333333333335,0.004999999999999893,-0.016880497083405343,0.006986869179432159,0.019565049662901218
Uniform,0.05,9,1.8931384738770147,300,1187,0.026465997770345598,7.913333333333333,0.3301551123449153,0.1855939342881212,6.0,8.0,10.0,12.050000000000011,0.04313870388870389,0.0,0.03571428571428571,0.06666666666666667,0.04322860238353196,133,1,1.0,0.0,2,0.0016849199663016006,0.006666666666666667,5.0,4.806666666666667,4,0.4872942555868866,0.27,0.02833333333333332,-0.009635744119660523,0.006972370609834462,0.018629433129728507
Uniform,0.05,10,1.8710168259272382,300,1187,0.026465997770345598,7.913333333333333,0.33749014220808843,0.18906486941870249,6.0,8.0,10.0,13.0,0.043970714470714475,0.0,0.03571428571428571,0.06666666666666667,0.04463130659767141,138,1,1.0,0.0,2,0.0016849199663016006,0.006666666666666667,5.0,4.796666666666667,4,0.4820350909068972,0.26,0.023333333333333428,-0.004938727841394155,0.007042027533389327,0.018074141933904535
Uniform,0.05,11,2.0427092703151044,300,1187,0.026465997770345598,7.913333333333333,0.3322444716059908,0.18614995787700073,6.0,8.0,9.25,12.050000000000011,0.04466237466237467,0.0,0.03571428571428571,0.06666666666666667,0.04543979227523531,140,1,1.0,0.0,2,0.0016849199663016006,0.006666666666666667,5.0,4.81,4,0.49139370702975016,0.25666666666666665,0.018333333333333313,-0.03215773094629384,0.0069766272254209805,0.019861183808372165
Uniform,0.1,0,3.2533024247235627,300,1124,0.025061315496098104,7.493333333333333,0.346545952343846,0.1960083036773428,6.0,7.0,9.0,12.0,0.043039035039035035,0.0,0.027777777777777776,0.06666666666666667,0.04368231046931408,121,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.746666666666667,4,0.43930112650549,0.2866666666666667,0.05499999999999994,0.008556743992221175,0.007194635280238358,0.018984781047536915
Uniform,0.1,1,3.79176853380283,300,1124,0.025061315496098104,7.493333333333333,0.33558030130714966,0.1878113879003558,6.0,8.0,9.0,12.0,0.039711982461982466,0.0,0.03163503163503163,0.06060606060606061,0.040378319388868676,111,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.753333333333333,5,0.44555104735249046,0.28,0.20399999999999996,-0.036784865983070486,0.007178914841151269,0.01984380073154919
Uniform,0.1,2,3.0930950900094105,300,1124,0.025061315496098104,7.493333333333333,0.34240997225686726,0.1923339264531434,6.0,8.0,9.0,12.0,0.04704282754282754,0.0,0.03571428571428571,0.06666666666666667,0.04525706010137581,125,1,1.0,0.0,3,0.0026690391459074734,0.01,5.0,4.743333333333333,4,0.48834432504654196,0.2733333333333333,0.03333333333333344,-0.032358995741718896,0.007245914363822464,0.020221057849591984
Uniform,0.1,3,4.1318644135615745,300,1124,0.025061315496098104,7.493333333333333,0.3322021645584331,0.18541518386714118,6.0,7.0,9.0,12.0,0.040070448070448066,0.0,0.027777777777777776,0.06666666666666667,0.04083616917841517,112,2,0.9966666666666667,0.0033333333333333335,1,0.0008896797153024911,0.0033333333333333335,5.0,4.756666666666667,5,0.4994653214878231,0.26,0.21066666666666678,-0.015438996654199332,0.00715893211084626,0.020253983400682588
Uniform,0.1,4,4.371201132676786,300,1124,0.025061315496098104,7.493333333333333,0.34396679286714077,0.19305753262158953,6.0,7.0,9.0,12.0,0.03921114071114071,0.0,0.027777777777777776,0.06666666666666667,0.039783001808318265,110,2,0.9966666666666667,0.0033333333333333335,2,0.0017793594306049821,0.006666666666666667,5.0,4.72,5,0.4674055863020985,0.2833333333333333,0.2413333333333334,-0.01780483270077403,0.00716244419070045,0.020642995013858027
Uniform,0.1,5,3.1672982555645683,300,1124,0.025061315496098104,7.493333333333333,0.3373446807334131,0.1904922894424672,6.0,7.0,9.0,12.0,0.03909248159248159,0.0,0.027777777777777776,0.05769230769230769,0.03960276129344798,109,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.73,4,0.486441486936589,0.25666666666666665,0.01333333333333342,-0.008842094227487024,0.0072492744711451325,0.02042927091571058
Uniform,0.1,6,3.825611402173385,300,1124,0.025061315496098104,7.493333333333333,0.345516598862724,0.19420225385527878,6.0,7.0,9.0,12.0,0.04138207163207163,0.0,0.030303030303030304,0.06666666666666667,0.04190751445086705,116,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.746666666666667,5,0.4711404205873786,0.26,0.19599999999999995,-0.002443267153898448,0.007225476372393912,0.020386878645190575
Uniform,0.1,7,3.2417649601966074,300,1124,0.025061315496098104,7.493333333333333,0.34067182758076353,0.19031435349940673,6.0,8.0,9.0,12.0,0.04418707218707219,0.0,0.03571428571428571,0.06666666666666667,0.04494925084581924,124,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.766666666666667,5,0.4613840218588923,0.23666666666666666,0.10933333333333328,-0.05823395319328095,0.007235019704820373,0.018668784632452605
Uniform,0.1,8,3.07133101317342,300,1124,0.025061315496098104,7.493333333333333,0.3485955408182676,0.19571767497034398,6.0,7.5,9.0,12.0,0.038998149998149996,0.0,0.027777777777777776,0.06060606060606061,0.04037490987743331,112,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.73,4,0.4831138948341587,0.26,0.014999999999999902,0.002410627196581534,0.007226483762361497,0.019232253197833126
Uniform,0.1,9,3.417089595819354,300,1124,0.025061315496098104,7.493333333333333,0.3357571564758828,0.18912218268090153,6.0,7.0,9.0,12.0,0.04023036223036223,0.0,0.027777777777777776,0.06666666666666667,0.040737148399612025,112,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.763333333333334,5,0.462644137612239,0.24,0.1226666666666667,-0.0048220992092476095,0.0072653596489981945,0.019351189815522432
Uniform,0.1,10,3.19619102578468,300,1124,0.025061315496098104,7.493333333333333,0.3479136862511851,0.19518090154211154,6.0,7.0,9.0,12.0,0.04117978317978318,0.0,0.030303030303030304,0.06666666666666667,0.04183698004327963,116,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.72,4,0.47858871784805157,0.27,0.036666666666666625,-0.019334346291125248,0.0072612005134092515,0.01960135146227658
Uniform,0.1,11,3.056548518288036,300,1124,0.025061315496098104,7.493333333333333,0.33611058763971824,0.18911328588374854,6.0,7.5,9.0,12.0,0.04366666666666666,0.0,0.030303030303030304,0.06666666666666667,0.04472727272727273,123,1,1.0,0.0,2,0.0017793594306049821,0.006666666666666667,5.0,4.746666666666667,4,0.47914991261508844,0.25666666666666665,0.01333333333333342,-0.03238962253215958,0.007251452944971717,0.020264768298128635
Uniform,0.2,0,6.355614927115368,300,999,0.022274247491638796,6.66,0.3793899438866496,0.21444110777444103,5.0,7.0,8.0,11.0,0.04143428793428793,0.0,0.01818181818181818,0.05555555555555555,0.03856624319419238,85,1,1.0,0.0,3,0.003003003003003003,0.01,4.0,3.816666666666667,5,0.45295295295295296,0.24666666666666667,0.11066666666666669,0.0006254462024737491,0.007713846630883309,0.022055871507245063
