atlas_id,n,m,degree_key,closure_key,extended_key
627,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
628,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
629,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.5), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.5), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
630,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.4), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.4), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 3, 3, 3, 3), 1, 1)"
631,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1), np.float64(0.166666666667), np.float64(0.666666666667), np.float64(0.666666666667)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1), np.float64(0.166666666667), np.float64(0.666666666667), np.float64(0.666666666667)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
632,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
633,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.5), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.5), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
634,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
635,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
636,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 1, 2, 3, 3, 3, 3), 2, 1)"
637,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(1.0)), (1, 2, 2, 3, 3, 3, 3), 1, 1)"
638,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
639,7,10,"(7, (1, 2, 2, 3, 4, 4, 4))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.666666666667)))","(7, (1, 2, 2, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(0.166666666667), np.float64(0.333333333333), np.float64(0.666666666667)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
640,7,10,"(7, (1, 2, 3, 3, 3, 3, 5))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
641,7,10,"(7, (1, 2, 3, 3, 3, 3, 5))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667)))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
642,7,10,"(7, (1, 2, 3, 3, 3, 3, 5))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667)))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
643,7,10,"(7, (1, 2, 3, 3, 3, 3, 5))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)))","(7, (1, 2, 3, 3, 3, 3, 5), (np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
