mu,seed,ARI,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.1,0,1.0,300,1212,0.027023411371237458,8.08,0.33117171542006996,0.18619086908690852,6.0,8.0,10.0,13.0,0.07478894253894254,0.029671717171717172,0.06666666666666667,0.10256410256410256,0.07364060072501295,237,1,1.0,0.0,0,0.0,0.0,5.0,4.903333333333333,4,0.6490482278425862,0.25,0.0,-0.0364341402926636,0.007776632261399264,0.02115792947658762
0.1,1,0.9647436083513792,300,1222,0.027246376811594204,8.146666666666667,0.34643134825873034,0.19205946535733753,6.0,8.0,10.0,13.0,0.09508256612668377,0.047619047619047616,0.08333333333333333,0.13333333333333333,0.08883964544721998,294,1,1.0,0.0,0,0.0,0.0,5.0,4.836666666666667,4,0.6508905874569071,0.25333333333333335,0.004999999999999893,-0.033556159785959924,0.007702684835636731,0.022827323831962818
0.1,2,0.9560069927592152,300,1186,0.026443701226309922,7.906666666666666,0.32256527251991246,0.17881394041596388,6.0,8.0,9.0,12.0,0.09173442896972307,0.047619047619047616,0.08333333333333333,0.13333333333333333,0.08737864077669903,267,1,1.0,0.0,2,0.0016863406408094434,0.006666666666666667,6.0,5.21,4,0.6597562484181669,0.25333333333333335,0.008333333333333304,-0.011023985975163516,0.00823068584909854,0.025331862211156086
0.1,3,0.9910811504997546,300,1222,0.027246376811594204,8.146666666666667,0.330250899519289,0.18203764320785587,6.0,8.0,10.0,13.0,0.0653176578323637,0.024786324786324785,0.0641025641025641,0.09523809523809523,0.06813321112129544,223,1,1.0,0.0,1,0.0008183306055646482,0.0033333333333333335,5.0,4.866666666666666,4,0.6336005073381888,0.25333333333333335,0.004999999999999893,-0.03141365797299236,0.0075618074059915575,0.022060948786193996
0.1,4,1.0,300,1174,0.026176142697881828,7.826666666666667,0.3130529377056545,0.17501135718341843,6.0,8.0,9.0,12.0,0.07873744773744774,0.03571428571428571,0.06904761904761905,0.10714285714285714,0.07807066741447,232,1,1.0,0.0,0,0.0,0.0,5.0,4.85,4,0.6492984714237207,0.25,0.0,-0.003963021537273857,0.0077675728177158876,0.02121254597757986
0.1,5,0.9822836237620116,300,1165,0.025975473801560758,7.766666666666667,0.34224608703759024,0.1895708154506437,6.0,8.0,9.0,13.0,0.0751830197093355,0.027777777777777776,0.06666666666666667,0.1,0.07279436430727944,217,1,1.0,0.0,0,0.0,0.0,5.0,4.833333333333333,4,0.643048499696071,0.25666666666666665,0.010000000000000009,-0.006850805358846016,0.00789242118913655,0.022413214670249905
0.1,6,0.9732450690658084,300,1228,0.02738015607580825,8.186666666666667,0.3234508825568014,0.18152551574375675,6.0,8.0,10.0,13.0,0.0919095164095164,0.044444444444444446,0.08333333333333333,0.12727272727272726,0.08595727447605549,283,1,1.0,0.0,1,0.0008143322475570033,0.0033333333333333335,5.0,4.863333333333333,4,0.6422843345817992,0.25666666666666665,0.008333333333333304,-0.04251576243160398,0.00786398360865058,0.021158309423892005
0.1,7,0.9910811504997546,300,1154,0.02573021181716834,7.693333333333333,0.3379371634662068,0.1884719815135758,6.0,8.0,9.0,12.0,0.07247979199449787,0.027777777777777776,0.06666666666666667,0.10714285714285714,0.07484550240329595,218,1,1.0,0.0,0,0.0,0.0,5.0,4.803333333333334,4,0.6578377071387593,0.25333333333333335,0.004999999999999893,-0.05084127508780161,0.00788884436983524,0.025334506923314865
0.1,8,0.9910811504997546,300,1216,0.027112597547380157,8.106666666666667,0.3220325855400109,0.17932291666666655,6.0,8.0,10.0,13.0,0.0748466255966256,0.022222222222222223,0.06666666666666667,0.1111111111111111,0.07947019867549669,256,1,1.0,0.0,1,0.0008223684210526315,0.0033333333333333335,5.0,4.89,4,0.6514966970005194,0.25333333333333335,0.004999999999999893,0.016182354950470806,0.007829093453891612,0.02295761261066433
0.1,9,1.0,300,1286,0.02867335562987737,8.573333333333334,0.32696786727885785,0.18288750648004148,7.0,9.0,10.0,13.0,0.08710690479111531,0.047619047619047616,0.08012820512820512,0.1111111111111111,0.08408133357757831,306,1,1.0,0.0,1,0.0007776049766718507,0.0033333333333333335,6.0,5.47,4,0.6574175412203198,0.25,0.0,0.024205379547411535,0.007533437184048836,0.021864994151729763
0.2,0,0.938536930223174,300,1223,0.027268673355629876,8.153333333333334,0.3834919549138544,0.20958299264104663,6.0,8.0,10.0,13.050000000000011,0.07112684327134455,0.0,0.05555555555555555,0.1,0.06549192364170338,223,1,1.0,0.0,0,0.0,0.0,5.0,4.816666666666666,4,0.5496346597545412,0.26,0.01333333333333342,-0.047384355028104126,0.007005181076559828,0.018833506295684522
0.2,1,0.9124032838544754,300,1264,0.02818283166109253,8.426666666666666,0.32204712180374073,0.17902162447257375,7.0,8.0,10.0,13.0,0.054794853294853285,0.022222222222222223,0.047619047619047616,0.07348484848484849,0.055470834921845215,194,1,1.0,0.0,1,0.0007911392405063291,0.0033333333333333335,6.0,5.693333333333333,4,0.5359627238223041,0.26666666666666666,0.03166666666666673,-0.020533074052722398,0.006930619860055988,0.01960727826839119
0.2,2,0.9290662478286648,300,1202,0.026800445930880712,8.013333333333334,0.35148741235303543,0.19774265113699374,6.0,8.0,10.0,13.0,0.07030415445121327,0.022222222222222223,0.05555555555555555,0.1,0.06548856548856549,210,1,1.0,0.0,0,0.0,0.0,5.0,4.843333333333334,4,0.555789574225985,0.27,0.026666666666666616,0.013538503340336043,0.007191837993165088,0.01966365982984694
0.2,3,0.9471485368794381,300,1191,0.026555183946488294,7.94,0.34605513947229005,0.19236216064931422,6.0,8.0,9.0,13.0,0.06046213971213972,0.0,0.05454545454545454,0.08888888888888889,0.060012768674186,188,1,1.0,0.0,0,0.0,0.0,5.0,4.84,4,0.5507842544242749,0.25666666666666665,0.008333333333333304,-0.018730916003517093,0.00710828206678383,0.019036620852458958
