dataset,seed_a,seed_b,ARI
Southern women,2,16,1.0
Southern women,2,17,0.5900751161637495
Southern women,2,18,0.72366244755123
Southern women,2,19,0.9146314950358722
Southern women,3,4,0.5201255909895767
Southern women,3,5,0.6098886366480167
Southern women,3,6,0.72366244755123
Southern women,3,7,0.9146314950358722
Southern women,3,8,1.0
Southern women,3,9,0.7416801208270403
Southern women,3,10,0.6585263238415788
Southern women,3,11,0.6138718466756872
Southern women,3,12,0.9146314950358722
Southern women,3,13,0.6312408258192425
Southern women,3,14,0.663019059352127
Southern women,3,15,0.9146314950358722
Southern women,3,16,1.0
Southern women,3,17,0.5900751161637495
Southern women,3,18,0.72366244755123
Southern women,3,19,0.9146314950358722
Southern women,4,5,0.46045615849635324
Southern women,4,6,0.4913704701486052
Southern women,4,7,0.5115993351159933
Southern women,4,8,0.5201255909895767
Southern women,4,9,0.578764927119261
Southern women,4,10,0.7166415935101784
Southern women,4,11,0.725121460107513
Southern women,4,12,0.5653682156536821
Southern women,4,13,0.8493402942572378
Southern women,4,14,0.46679193466791935
Southern women,4,15,0.5115993351159933
Southern women,4,16,0.5201255909895767
Southern women,4,17,0.8547025760266574
Southern women,4,18,0.4913704701486052
Southern women,4,19,0.5115993351159933
Southern women,5,6,0.6336716992150598
Southern women,5,7,0.6878678295398142
Southern women,5,8,0.6098886366480167
Southern women,5,9,0.6600119955445121
Southern women,5,10,0.4954408419183606
Southern women,5,11,0.41812406374645805
Southern women,5,12,0.6878678295398142
Southern women,5,13,0.46923488496522203
Southern women,5,14,0.9164716726937531
Southern women,5,15,0.6878678295398142
Southern women,5,16,0.6098886366480167
Southern women,5,17,0.44897776344317225
Southern women,5,18,0.6336716992150598
Southern women,5,19,0.6878678295398142
Southern women,6,7,0.8068535825545171
Southern women,6,8,0.72366244755123
Southern women,6,9,0.7486528943767842
Southern women,6,10,0.5399625434763221
Southern women,6,11,0.46091682005434303
Southern women,6,12,0.6780893042575286
Southern women,6,13,0.5054395242419386
Southern women,6,14,0.5579093111803393
Southern women,6,15,0.8068535825545171
Southern women,6,16,0.72366244755123
Southern women,6,17,0.5242330699872687
Southern women,6,18,1.0
Southern women,6,19,0.8068535825545171
Southern women,7,8,0.9146314950358722
Southern women,7,9,0.6960574466616033
Southern women,7,10,0.6681992914750886
Southern women,7,11,0.5865758042060526
Southern women,7,12,0.8397932816537468
Southern women,7,13,0.6318677189026681
Southern women,7,14,0.6083835773758255
Southern women,7,15,1.0
Southern women,7,16,0.9146314950358722
Southern women,7,17,0.5629678075721242
Southern women,7,18,0.8068535825545171
Southern women,7,19,1.0
Southern women,8,9,0.7416801208270403
Southern women,8,10,0.6585263238415788
Southern women,8,11,0.6138718466756872
Southern women,8,12,0.9146314950358722
Southern women,8,13,0.6312408258192425
Southern women,8,14,0.663019059352127
Southern women,8,15,0.9146314950358722
Southern women,8,16,1.0
Southern women,8,17,0.5900751161637495
Southern women,8,18,0.72366244755123
Southern women,8,19,0.9146314950358722
Southern women,9,10,0.48890507577238085
Southern women,9,11,0.4192950879829451
Southern women,9,12,0.6960574466616033
Southern women,9,13,0.489757187705078
Southern women,9,14,0.6960574466616033
Southern women,9,15,0.6960574466616033
Southern women,9,16,0.7416801208270403
Southern women,9,17,0.6118868351040707
Southern women,9,18,0.7486528943767842
Southern women,9,19,0.6960574466616033
Southern women,10,11,0.9035075773787522
Southern women,10,12,0.7055852868018392
Southern women,10,13,0.8393684849711568
Southern women,10,14,0.4906158136730233
Southern women,10,15,0.6681992914750886
Southern women,10,16,0.6585263238415788
Southern women,10,17,0.6665962472872534
Southern women,10,18,0.5399625434763221
Southern women,10,19,0.6681992914750886
Southern women,11,12,0.6592657726972961
Southern women,11,13,0.7980808374527479
Southern women,11,14,0.44119586722356563
Southern women,11,15,0.5865758042060526
Southern women,11,16,0.6138718466756872
Southern women,11,17,0.7232606148524242
Southern women,11,18,0.46091682005434303
Southern women,11,19,0.5865758042060526
Southern women,12,13,0.6784667418263811
Southern women,12,14,0.7507895492391616
Southern women,12,15,0.8397932816537468
Southern women,12,16,0.9146314950358722
Southern women,12,17,0.5629678075721242
Southern women,12,18,0.6780893042575286
Southern women,12,19,0.8397932816537468
Southern women,13,14,0.47343104096204436
Southern women,13,15,0.6318677189026681
Southern women,13,16,0.6312408258192425
Southern women,13,17,0.6961656999559716
Southern women,13,18,0.5054395242419386
Southern women,13,19,0.6318677189026681
Southern women,14,15,0.6083835773758255
Southern women,14,16,0.663019059352127
Southern women,14,17,0.4548361310951239
Southern women,14,18,0.5579093111803393
Southern women,14,19,0.6083835773758255
Southern women,15,16,0.9146314950358722
Southern women,15,17,0.5629678075721242
Southern women,15,18,0.8068535825545171
Southern women,15,19,1.0
Southern women,16,17,0.5900751161637495
Southern women,16,18,0.72366244755123
Southern women,16,19,0.9146314950358722
Southern women,17,18,0.5242330699872687
Southern women,17,19,0.5629678075721242
Southern women,18,19,0.8068535825545171
Florentine families,0,1,1.0
Florentine families,0,2,1.0
Florentine families,0,3,1.0
Florentine families,0,4,1.0
Florentine families,0,5,1.0
Florentine families,0,6,1.0
Florentine families,0,7,1.0
Florentine families,0,8,1.0
Florentine families,0,9,1.0
Florentine families,0,10,0.7592847317744154
Florentine families,0,11,1.0
Florentine families,0,12,1.0
Florentine families,0,13,1.0
Florentine families,0,14,1.0
Florentine families,0,15,1.0
Florentine families,0,16,1.0
Florentine families,0,17,1.0
Florentine families,0,18,1.0
Florentine families,0,19,1.0
Florentine families,1,2,1.0
Florentine families,1,3,1.0
Florentine families,1,4,1.0
Florentine families,1,5,1.0
Florentine families,1,6,1.0
Florentine families,1,7,1.0
Florentine families,1,8,1.0
Florentine families,1,9,1.0
Florentine families,1,10,0.7592847317744154
Florentine families,1,11,1.0
Florentine families,1,12,1.0
Florentine families,1,13,1.0
Florentine families,1,14,1.0
Florentine families,1,15,1.0
Florentine families,1,16,1.0
Florentine families,1,17,1.0
Florentine families,1,18,1.0
Florentine families,1,19,1.0
Florentine families,2,3,1.0
Florentine families,2,4,1.0
Florentine families,2,5,1.0
Florentine families,2,6,1.0
Florentine families,2,7,1.0
Florentine families,2,8,1.0
Florentine families,2,9,1.0
Florentine families,2,10,0.7592847317744154
Florentine families,2,11,1.0
Florentine families,2,12,1.0
Florentine families,2,13,1.0
Florentine families,2,14,1.0
Florentine families,2,15,1.0
Florentine families,2,16,1.0
Florentine families,2,17,1.0
Florentine families,2,18,1.0
Florentine families,2,19,1.0
Florentine families,3,4,1.0
Florentine families,3,5,1.0
Florentine families,3,6,1.0
Florentine families,3,7,1.0
Florentine families,3,8,1.0
Florentine families,3,9,1.0
Florentine families,3,10,0.7592847317744154
Florentine families,3,11,1.0
Florentine families,3,12,1.0
Florentine families,3,13,1.0
Florentine families,3,14,1.0
Florentine families,3,15,1.0
Florentine families,3,16,1.0
Florentine families,3,17,1.0
Florentine families,3,18,1.0
Florentine families,3,19,1.0
Florentine families,4,5,1.0
Florentine families,4,6,1.0
Florentine families,4,7,1.0
Florentine families,4,8,1.0
Florentine families,4,9,1.0
Florentine families,4,10,0.7592847317744154
Florentine families,4,11,1.0
Florentine families,4,12,1.0
Florentine families,4,13,1.0
Florentine families,4,14,1.0
Florentine families,4,15,1.0
Florentine families,4,16,1.0
Florentine families,4,17,1.0
Florentine families,4,18,1.0
Florentine families,4,19,1.0
Florentine families,5,6,1.0
Florentine families,5,7,1.0
Florentine families,5,8,1.0
Florentine families,5,9,1.0
Florentine families,5,10,0.7592847317744154
Florentine families,5,11,1.0
Florentine families,5,12,1.0
Florentine families,5,13,1.0
Florentine families,5,14,1.0
Florentine families,5,15,1.0
Florentine families,5,16,1.0
Florentine families,5,17,1.0
Florentine families,5,18,1.0
Florentine families,5,19,1.0
Florentine families,6,7,1.0
Florentine families,6,8,1.0
Florentine families,6,9,1.0
Florentine families,6,10,0.7592847317744154
Florentine families,6,11,1.0
Florentine families,6,12,1.0
Florentine families,6,13,1.0
Florentine families,6,14,1.0
Florentine families,6,15,1.0
Florentine families,6,16,1.0
Florentine families,6,17,1.0
Florentine families,6,18,1.0
Florentine families,6,19,1.0
Florentine families,7,8,1.0
Florentine families,7,9,1.0
Florentine families,7,10,0.7592847317744154
Florentine families,7,11,1.0
Florentine families,7,12,1.0
Florentine families,7,13,1.0
Florentine families,7,14,1.0
Florentine families,7,15,1.0
Florentine families,7,16,1.0
Florentine families,7,17,1.0
Florentine families,7,18,1.0
Florentine families,7,19,1.0
Florentine families,8,9,1.0
Florentine families,8,10,0.7592847317744154
Florentine families,8,11,1.0
Florentine families,8,12,1.0
Florentine families,8,13,1.0
Florentine families,8,14,1.0
Florentine families,8,15,1.0
Florentine families,8,16,1.0
Florentine families,8,17,1.0
Florentine families,8,18,1.0
Florentine families,8,19,1.0
Florentine families,9,10,0.7592847317744154
Florentine families,9,11,1.0
Florentine families,9,12,1.0
Florentine families,9,13,1.0
Florentine families,9,14,1.0
Florentine families,9,15,1.0
Florentine families,9,16,1.0
Florentine families,9,17,1.0
Florentine families,9,18,1.0
Florentine families,9,19,1.0
Florentine families,10,11,0.7592847317744154
Florentine families,10,12,0.7592847317744154
Florentine families,10,13,0.7592847317744154
Florentine families,10,14,0.7592847317744154
Florentine families,10,15,0.7592847317744154
Florentine families,10,16,0.7592847317744154
Florentine families,10,17,0.7592847317744154
Florentine families,10,18,0.7592847317744154
Florentine families,10,19,0.7592847317744154
Florentine families,11,12,1.0
Florentine families,11,13,1.0
